@timestamp,integration_latency
2025-12-04 20:43:50.308,1913
2025-12-04 20:43:49.223,2715
2025-12-04 20:35:48.246,2815
2025-12-04 20:35:48.113,2285
2025-12-04 20:34:21.626,3449
2025-12-04 20:34:21.355,3324
2025-12-04 20:32:44.123,2436
2025-12-04 20:32:42.891,3350
2025-12-04 20:29:50.949,7227
2025-12-04 20:29:49.435,7103
2025-12-04 20:26:39.685,7461
2025-12-04 20:26:38.809,6717
2025-12-04 20:25:38.376,2054
2025-12-04 20:25:37.697,2391
2025-12-04 20:25:30.944,1337
2025-12-04 20:25:21.870,14046
2025-12-04 20:25:21.842,1245
2025-12-04 20:25:20.352,16991
2025-12-04 20:25:16.666,11869
2025-12-04 20:25:16.527,4594
2025-12-04 20:23:28.805,1603
2025-12-04 20:22:05.072,2053
2025-12-04 20:22:04.778,2044
2025-12-04 20:21:18.342,3856
2025-12-04 20:21:12.392,4938
2025-12-04 20:19:58.566,1611
2025-12-04 20:19:50.396,1347
2025-12-04 20:19:46.253,1277
2025-12-04 20:18:32.429,1677
2025-12-04 20:18:29.074,2570
2025-12-04 20:17:21.601,4284
2025-12-04 20:17:16.855,3365
2025-12-04 20:16:23.660,2659
2025-12-04 20:16:22.653,3176
2025-12-04 20:09:43.762,1114
2025-12-04 20:09:41.272,1193
2025-12-04 20:09:03.816,7825
2025-12-04 20:09:03.041,5731
2025-12-04 20:08:41.270,1933
2025-12-04 20:08:40.009,1840
2025-12-04 20:08:34.469,2568
2025-12-04 20:08:34.199,2935
2025-12-04 20:07:21.552,2110
2025-12-04 20:07:21.515,2400
2025-12-04 20:06:11.540,2176
2025-12-04 20:06:11.382,1742
2025-12-04 20:05:59.188,2669
2025-12-04 20:05:59.110,2513
2025-12-04 20:05:00.227,10315
2025-12-04 20:04:58.865,11782
2025-12-04 20:04:10.749,5085
2025-12-04 20:04:08.330,5282
2025-12-04 20:03:53.511,3756
2025-12-04 20:03:52.252,1907
2025-12-04 20:03:13.127,8304
2025-12-04 20:03:11.811,7038
2025-12-04 20:03:11.676,1980
2025-12-04 20:03:10.445,4557
2025-12-04 20:02:41.036,1468
2025-12-04 20:02:09.845,2411
2025-12-04 20:02:08.102,2732
2025-12-04 20:01:40.599,1556
2025-12-04 20:01:18.540,2803
2025-12-04 20:01:18.337,2417
2025-12-04 20:01:00.445,2081
2025-12-04 20:00:59.442,2122
2025-12-04 20:00:25.897,2591
2025-12-04 20:00:24.297,3866
2025-12-04 19:59:13.297,2398
2025-12-04 19:59:13.106,2336
2025-12-04 19:58:35.594,1833
2025-12-04 19:58:32.987,2069
2025-12-04 19:56:21.411,4696
2025-12-04 19:56:20.551,4862
2025-12-04 19:56:01.719,1929
2025-12-04 19:56:00.338,1917
2025-12-04 19:54:26.817,3978
2025-12-04 19:54:26.008,3977
2025-12-04 19:52:55.220,2107
2025-12-04 19:52:53.586,1958
2025-12-04 19:51:52.077,5469
2025-12-04 19:51:50.375,4875
2025-12-04 19:49:03.776,1569
2025-12-04 19:49:02.379,1584
2025-12-04 19:48:41.767,15683
2025-12-04 19:48:13.942,1913
2025-12-04 19:46:14.571,7897
2025-12-04 19:46:12.523,7458
2025-12-04 19:43:23.009,8406
2025-12-04 19:42:55.884,1638
2025-12-04 19:41:56.144,4109
2025-12-04 19:41:54.702,6290
2025-12-04 19:41:49.007,4408
2025-12-04 19:41:46.346,4166
2025-12-04 19:40:13.855,1254
2025-12-04 19:40:00.740,2438
2025-12-04 19:40:00.302,1807
2025-12-04 19:39:56.185,3961
2025-12-04 19:39:53.417,5701
2025-12-04 19:39:02.025,1796
2025-12-04 19:39:01.598,3392
2025-12-04 19:37:14.946,2348
2025-12-04 19:37:14.467,2278
2025-12-04 19:37:04.876,2986
2025-12-04 19:37:04.096,3254
2025-12-04 19:34:49.502,9442
2025-12-04 19:34:49.104,5997
2025-12-04 19:30:46.117,2014
2025-12-04 19:28:50.559,3927
2025-12-04 19:28:45.855,4022
2025-12-04 19:28:17.025,1459
2025-12-04 19:27:44.195,6034
2025-12-04 19:27:43.436,4604
2025-12-04 19:26:37.794,2137
2025-12-04 19:26:37.726,2410
2025-12-04 19:26:20.880,6182
2025-12-04 19:26:19.996,6043
2025-12-04 19:25:51.930,2221
2025-12-04 19:25:50.193,2455
2025-12-04 19:24:21.994,3512
2025-12-04 19:24:20.729,4067
2025-12-04 19:23:52.769,8302
2025-12-04 19:23:52.440,6536
2025-12-04 19:22:56.159,4120
2025-12-04 19:22:55.181,4498
2025-12-04 19:20:15.262,5921
2025-12-04 19:20:10.601,4144
2025-12-04 19:19:04.858,4771
2025-12-04 19:19:04.553,3786
2025-12-04 19:18:40.054,2050
2025-12-04 19:18:39.630,2071
2025-12-04 19:18:29.455,8966
2025-12-04 19:18:29.103,9025
2025-12-04 19:18:23.962,465
2025-12-04 19:17:10.777,2315
2025-12-04 19:17:10.456,1889
2025-12-04 19:16:40.400,1525
2025-12-04 19:16:05.025,2318
2025-12-04 19:16:04.706,1821
2025-12-04 19:15:39.522,5807
2025-12-04 19:15:35.111,5408
2025-12-04 19:14:38.210,5839
2025-12-04 19:14:36.909,4429
2025-12-04 19:13:50.375,8536
2025-12-04 19:13:48.409,9499
2025-12-04 19:13:37.631,3525
2025-12-04 19:13:35.931,3233
2025-12-04 19:13:27.240,2419
2025-12-04 19:13:27.088,2242
2025-12-04 19:12:55.427,1906
2025-12-04 19:12:52.387,2266
2025-12-04 19:10:57.411,1311
2025-12-04 19:10:14.512,1829
2025-12-04 19:10:13.062,2070
2025-12-04 19:09:58.324,1557
2025-12-04 19:08:35.034,1928
2025-12-04 19:08:34.855,2377
2025-12-04 19:07:43.382,1877
2025-12-04 19:07:42.743,2304
2025-12-04 19:07:14.643,1638
2025-12-04 19:05:02.818,5124
2025-12-04 19:05:01.013,6495
2025-12-04 19:03:49.403,2141
2025-12-04 19:03:48.879,2315
2025-12-04 19:03:28.523,2327
2025-12-04 19:01:15.855,2006
2025-12-04 19:01:15.416,2116
2025-12-04 19:01:05.191,1233
2025-12-04 19:01:03.243,3095
2025-12-04 19:00:51.800,2053
2025-12-04 19:00:50.777,2547
2025-12-04 18:58:59.489,1851
2025-12-04 18:58:58.742,1529
2025-12-04 18:57:48.486,1999
2025-12-04 18:53:59.323,2761
2025-12-04 18:53:58.980,3083
2025-12-04 18:52:40.122,1157
2025-12-04 18:52:38.065,1768
2025-12-04 18:50:20.978,5441
2025-12-04 18:50:18.545,4927
2025-12-04 18:50:17.975,5326
2025-12-04 18:50:16.821,3252
2025-12-04 18:49:24.860,4961
2025-12-04 18:49:22.664,6665
2025-12-04 18:48:51.992,7644
2025-12-04 18:48:51.782,6101
2025-12-04 18:47:47.160,5951
2025-12-04 18:47:45.828,5627
2025-12-04 18:45:54.473,4997
2025-12-04 18:45:53.766,6250
2025-12-04 18:44:55.156,2356
2025-12-04 18:44:54.191,2708
2025-12-04 18:43:00.803,5445
2025-12-04 18:43:00.008,7392
