spec_path,title,first_flaky_seen_at,first_flaky_runs_ago,last_flaky_seen_at,last_flaky_runs_ago,total_flaky_runs,total_runs,severity
cypress/e2e/predict.cy.js,Create and deploy /// Create and deploy,2023-09-07T14:48:47Z,12195,2024-01-18T17:01:37Z,1080,286,907,MEDIUM
cypress/e2e/decide/thirdPartyLogin.cy.js,Test Decide Access /// Should not be possible for unauthorized users to access Decide,2023-09-01T12:04:04Z,12419,2024-01-17T15:22:16Z,2005,259,903,MEDIUM
cypress/e2e/decide/authoring.cy.js,"Multi selection tests /// Keyboard shortcuts copy, cut, paste and delete",2023-08-31T08:45:36Z,1253,2023-09-12T16:00:06Z,802,51,223,MEDIUM
cypress/e2e/decide/integrate/connect.cy.js,Connections creation /// verify user can create an env-aware cc connection,2024-08-28T14:53:00Z,3354,2024-08-30T16:50:58Z,38,4,19,MEDIUM
cypress/e2e/decide/authoring/detailedView.cy.js,Detailed View /// display data,2024-07-25T08:29:48Z,33161,2024-08-29T10:17:42Z,3016,39,262,MEDIUM
cypress/e2e/decide/datasets.cy.js,Datasets /// Subflow mocking,2024-07-10T11:26:23Z,44368,2024-08-27T15:29:46Z,5292,50,373,MEDIUM
cypress/e2e/decide/connect.cy.js,Connections creation /// verify user can create an env-aware cc connection,2023-11-10T17:07:30Z,138458,2024-08-28T11:21:16Z,22,183,1679,MEDIUM
cypress/e2e/decide/integrate/connect.cy.js,Integration Nodes Editor /// verify CC node editor displays all expected inputs,2024-08-29T10:18:04Z,3000,2024-08-29T10:33:40Z,2959,2,19,MEDIUM
cypress/e2e/decide/datasets.cy.js,Datasets /// Create dataset from historical data,2024-07-30T14:11:28Z,28925,2024-08-28T08:37:49Z,4758,27,263,MEDIUM
cypress/e2e/decide/authoring/paramsAndSchema.cy.js,Parameters /// Highlight global params,2024-06-18T15:36:10Z,54095,2024-08-26T09:13:58Z,8150,38,471,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks and decision history. Checking history records /// Check webhook logs and delete,2024-01-17T10:01:38Z,1328,2024-01-18T13:44:26Z,488,2,25,LOW
cypress/e2e/decide/authoring/versionCrudAndBaseNodes.cy.js,Version crud and nodes /// Scorecard Node,2024-02-23T11:09:29Z,115967,2024-08-30T16:51:03Z,36,87,1287,LOW
cypress/e2e/decide/copyFlow.cy.js,"Copy flow from template /// Copies version, children, conections, datasets, ml-models",2024-06-05T15:45:43Z,62045,2024-08-27T15:14:58Z,5321,36,552,LOW
cypress/e2e/decide/manualReview.cy.js,Manual Review /// Outbound webhook part 1: Configure webhook and create a case,2024-02-05T11:26:02Z,48823,2024-05-02T06:06:28Z,302,42,653,LOW
cypress/e2e/decide/autocomplete.cy.js,Test autocompletion /// Autocompletion should work on decision table node,2024-03-13T08:23:16Z,16743,2024-04-11T12:55:10Z,1606,29,528,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Set schema with nullables,2023-09-01T14:26:39Z,10040,2023-12-19T09:18:47Z,4610,45,867,LOW
cypress/e2e/decide/jobs.cy.js,Jobs /// File to file jobs,2024-04-09T09:11:32Z,93556,2024-08-27T15:29:46Z,5295,45,875,LOW
cypress/e2e/decide/flow_versions/traffic_policies.cy.js,Traffic policies /// should manage traffic policies,2024-02-05T11:56:31Z,126347,2024-08-30T17:22:10Z,0,106,2073,LOW
cypress/e2e/decide/authoring/codeNode.cy.js,CodeNode /// code.py - 200 - serialization test,2024-02-06T13:46:41Z,124701,2024-08-26T12:03:43Z,7745,63,1308,LOW
cypress/e2e/decide/authoring/ml_DecTabel_Flow_Node.cy.js,Version crud and nodes /// MLNode,2024-02-08T13:45:56Z,123257,2024-08-16T07:40:53Z,15166,61,1295,LOW
cypress/e2e/decide/authoring/detailedView.cy.js,Detailed View /// pinning,2024-07-29T14:24:06Z,30754,2024-08-19T11:39:53Z,13846,12,262,LOW
cypress/e2e/decide/manualReview.cy.js,"Manual Review /// MR node editor, queue page and case page",2024-01-10T14:13:40Z,136984,2024-08-30T17:22:09Z,0,61,1363,LOW
cypress/e2e/decide/authoring/nodeLevelAnalytics.cy.js,Node Level Analytics /// Insights pane visible on nodes,2024-08-29T13:01:19Z,2730,2024-08-29T15:19:17Z,2331,2,49,LOW
cypress/e2e/decide/authoring/loopNode.cy.js,Loop node tests /// Should be possible to create a simple loop node with const values and run the flow,2024-04-08T10:01:54Z,94493,2024-08-27T15:29:40Z,5307,37,913,LOW
cypress/e2e/decide/flow_versions/management.cy.js,Flow Management /// Manage flow versions /// Create - Edit - Delete a flow version,2023-09-18T14:09:36Z,144670,2024-08-30T15:23:10Z,167,84,2076,LOW
cypress/e2e/decide/manualReview.cy.js,Manual Review /// Outbound webhook part 1: Configure webhook,2024-05-03T15:40:27Z,76278,2024-08-27T13:24:41Z,6132,27,710,LOW
cypress/e2e/decide/selectionTests.cy.js,Multi selection and copy/cut paste tests /// Cut and paste a decision flow node,2024-02-02T10:11:39Z,127466,2024-08-30T15:23:14Z,172,55,1452,LOW
cypress/e2e/decide/flow_versions/archiving.cy.js,Flow Management /// Flow archivation,2023-09-14T14:21:17Z,144784,2024-08-13T14:07:31Z,18015,70,2070,LOW
cypress/e2e/decide/authoring/paramsAndSchema.cy.js,Parameters /// Set schema with nullables,2024-02-05T08:33:49Z,72360,2024-06-12T14:59:15Z,3725,26,839,LOW
cypress/e2e/decide/flowManagement.cy.js,Flow Management /// Manage flow versions /// Create - Edit - Delete a flow version,2023-09-04T09:14:14Z,465,2023-09-11T15:16:36Z,192,3,98,LOW
cypress/e2e/decide/connect.cy.js,Connections creation /// verify user can create a cc connection,2023-09-07T07:51:12Z,140958,2024-08-06T08:57:53Z,19323,65,2154,LOW
cypress/e2e/decide/flow_versions/traffic_policies.cy.js,Traffic policies /// Rollback to a policy with archived version,2023-09-19T08:15:17Z,144662,2024-05-17T12:01:53Z,70782,62,2073,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Revision diff view,2023-09-01T12:05:44Z,10054,2023-09-12T13:04:07Z,9665,25,867,LOW
cypress/e2e/decide/authoring/testRunResults.cy.js,test run results /// Inspect aux data in intermediate results,2024-01-18T13:44:26Z,134346,2024-08-29T15:19:18Z,2322,33,1315,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks and decision history. Setup and Invocation /// Prepare decision history test,2024-02-02T23:08:32Z,49008,2024-04-26T14:50:19Z,2710,14,608,LOW
cypress/e2e/decide/flow_versions/management.cy.js,Flow Management /// Manage flow versions /// Duplicate a flow version,2023-09-14T14:27:10Z,144767,2024-08-30T17:22:05Z,0,47,2076,LOW
cypress/e2e/decide/manifestConnect.cy.js,Manifest provider connection creation /// verify user can create a manifest connection,2024-08-12T12:11:49Z,14582,2024-08-21T14:37:49Z,6525,3,133,LOW
cypress/e2e/decide/thirdPartyLogin.cy.js,Test Decide Access /// Should be possible for taktile-test user to login with github and access decide,2023-09-05T13:33:05Z,12297,2024-01-18T14:12:52Z,1344,20,903,LOW
cypress/e2e/decide/datasets.cy.js,Datasets /// Column menu doesn't flicker,2024-05-31T11:20:37Z,65002,2024-07-10T19:40:41Z,43694,23,1092,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks checking log records /// Check remaining webhook logs,2024-05-02T11:11:38Z,77452,2024-07-12T12:22:57Z,42339,15,717,LOW
cypress/e2e/decide/flow_versions/management.cy.js,Flow Management /// Create - Edit - Delete a flow,2023-09-27T10:14:13Z,144328,2024-08-28T08:26:51Z,4791,43,2076,LOW
cypress/e2e/decide/userManagement.cy.js,User management /// verifies admin access,2024-02-02T10:11:30Z,127477,2024-08-21T11:12:42Z,11364,36,1945,LOW
cypress/e2e/decide/jobs.cy.js,Jobs /// SQL to file jobs,2024-05-03T11:13:42Z,76535,2024-08-27T16:06:17Z,5231,13,717,LOW
cypress/e2e/decide/autocomplete.cy.js,Test autocompletion /// If there is no completion data information should be shown to the user,2024-02-02T17:17:52Z,36936,2024-04-12T07:40:50Z,1017,8,455,LOW
cypress/e2e/decide/flow_versions/analytics.cy.js,Analytics /// Comparative analytics,2024-02-06T13:47:02Z,124690,2024-08-30T08:10:09Z,2080,22,1259,LOW
cypress/e2e/decide/selectionTests.cy.js,Multi selection and copy/cut paste tests /// Should be possible to create a group and run a flow,2024-02-06T13:47:20Z,124700,2024-07-22T07:46:02Z,36320,33,1956,LOW
cypress/e2e/predict.cy.js,Inspect shared repository /// Inspect shared repository,2023-09-11T15:32:53Z,12103,2024-01-09T16:20:09Z,4313,15,907,LOW
cypress/e2e/predict.cy.js,Delete Repository /// Delete Repository,2023-09-12T11:32:38Z,12044,2024-01-09T16:20:09Z,4313,15,907,LOW
cypress/e2e/decide/authoring/paramsAndSchema.cy.js,Schema /// Set schema with nullables,2024-06-20T12:36:44Z,53170,2024-08-30T09:07:03Z,1937,7,471,LOW
cypress/e2e/decide/authoring/paramsAndSchema.cy.js,Schema /// Set a schema,2024-07-09T09:18:30Z,44974,2024-08-08T09:34:08Z,21154,7,471,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,"Outgoing webhooks and decision history. Setup and Invocation /// Setup, test invoke and invoke webhooks",2024-02-02T13:23:47Z,49487,2024-04-29T11:00:43Z,2044,9,608,LOW
