"author","title","yearFirstPublished","mostReadRank2","mostReadRank","mostPopularRank","mostPopularRank2","numRatings","numRatingsAbbrev","numReviews","numReviewsAbbrev","averageRating","whichListCategory","book_id_title","numPages","ratingDistribution","original_language","gender","race (from perspective of U.S. racial logics)","author_nationality","AP_English_Recommended","Top College Syllabi","isbn","isbn13","book_cover"
"Homer","The Odyssey",-700,,"False",25,25,797889,"798k",10618,"11k",3.75,"Most Shelved","1381.The_Odyssey",541,"[241050, 253302, 200526, 70700, 32311]","Greek","Man","White","Greek",,"Top 200 College English Syllabi Author",140268863,9780140268867,"http://books.google.com/books/content?id=biBRxQmHPLIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Homer","The Iliad",-750,,"False",50,50,320638,"321k",6194,"6k",3.85,"Most Shelved","1371.The_Iliad",683,"[104807, 104779, 78417, 23669, 8966]","Greek","Man","White","Greek",,"Top 200 College English Syllabi Author",471377589,9780471377580,"https://images.penguinrandomhouse.com/cover/9780140275360"
"Unknown","Beowulf",975,49,49,82,82,211041,"211k",5864,"6k",3.43,"Most Shelved and Most Read","52357.Beowulf",213,"[43893, 59416, 65131, 28969, 13632]","Old English","Man","White","Unknown",,,451527402,9780451527400,"http://books.google.com/books/content?id=CcMDLQSuecIC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Geoffrey Chaucer","The Canterbury Tales",1390,,"False",83,83,175741,"176k",3077,"3k",3.49,"Most Shelved","2696.The_Canterbury_Tales",504,"[34149, 54334, 58285, 21404, 7569]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",140440224,9780140440225,"http://books.google.com/books/content?id=l6a5AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"Niccolò Machiavelli","The Prince",1513,93,93,"False",,227885,"228k",7186,"7k",3.81,"Most Read","28862.The_Prince",140,"[65643, 79535, 60770, 16728, 5209]","Italian","Man","White","Italian",,,553212788,9780553212785,"http://books.google.com/books/content?id=zazxOmXqYwcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"William Shakespeare","Romeo and Juliet",1595,40,40,9,9,1890960,"2M",17592,"18k",3.74,"Most Shelved and Most Read","18135.Romeo_and_Juliet",283,"[559597, 586344, 507182, 171477, 66360]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",486275574,9780486275574,"http://covers.openlibrary.org/b/isbn/9780486275574-M.jpg"
"William Shakespeare","A Midsummer Night's Dream",1595,77,77,46,46,411919,"412k",7141,"7k",3.94,"Most Shelved and Most Read","1622.A_Midsummer_Night_s_Dream",240,"[138369, 147942, 95446, 23448, 6714]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",1903436605,9781903436608,"http://books.google.com/books/content?id=KLmsqtpuE9IC&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"William Shakespeare","Much Ado About Nothing",1598,,"False",94,94,202408,"202k",3356,"3k",4.06,"Most Shelved","12957.Much_Ado_About_Nothing",246,"[78135, 72557, 40808, 8434, 2474]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",451526813,9780451526816,"http://covers.openlibrary.org/b/isbn/9780451526816-M.jpg"
"William Shakespeare","Hamlet",1603,39,39,28,28,662353,"662k",11213,"11k",4.01,"Most Shelved and Most Read","1420.Hamlet",289,"[255063, 222653, 135824, 36648, 12165]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",312055447,9780312055448,"http://books.google.com/books/content?id=mSxwQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api"
"William Shakespeare","Othello",1603,97,97,68,68,288265,"288k",5603,"6k",3.89,"Most Shelved and Most Read","12996.Othello",314,"[89343, 104221, 71826, 18126, 4749]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",521618762,9780521618762,"http://books.google.com/books/content?id=CidwsUhJntMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api"
"Miguel de Cervantes Saavedra","Don Quixote",1605,,"False",69,69,187407,"187k",7041,"7k",3.87,"Most Shelved","3836.Don_Quixote",1023,"[63976, 59682, 44184, 14185, 5380]","Spanish","Man","White","Spanish",,,60934344,9780060934347,"http://covers.openlibrary.org/b/isbn/9780060934347-M.jpg"
"William Shakespeare","Macbeth",1606,69,69,31,31,610118,"610k",9800,"10k",3.89,"Most Shelved and Most Read","8852.Macbeth",246,"[198507, 213513, 145236, 40236, 12626]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",521606861,9780521606868,"http://covers.openlibrary.org/b/isbn/9780521606868-M.jpg"
"Daniel Defoe","Robinson Crusoe",1719,,"False",78,78,227683,"228k",5851,"6k",3.67,"Most Shelved","2932.Robinson_Crusoe",320,"[54969, 77744, 66704, 20845, 7421]","English","Man","White","British","AP English Recommended Author","Top 200 College English Syllabi Author",141439823,9780141439822,"http://covers.openlibrary.org/b/isbn/9780141439822-M.jpg"
"Jonathan Swift","Gulliver's Travels",1726,,"False",72,72,214063,"214k",4967,"5k",3.56,"Most Shelved","7733.Gulliver_s_Travels",306,"[43076, 70201, 71754, 22318, 6714]","English","Man","White","Irish","AP English Recommended Author","Top 200 College English Syllabi Author",451527321,9780451527325,"http://covers.openlibrary.org/b/isbn/9780451527325-M.jpg"
